20200503;210000;8.868.0800000;8.888.8600000;8.793.8100000;8.847.9800000;114
20200503;220000;8.842.6300000;8.913.0900000;8.800.9600000;8.855.6300000;57
20200503;230000;8.856.8500000;8.967.8600000;8.856.8500000;8.911.4600000;354
20200504;000000;8.917.0400000;8.933.0200000;8.868.1500000;8.915.9800000;270
20200504;010000;8.924.1400000;8.947.9500000;8.772.4900000;8.818.7300000;382
20200504;020000;8.827.0800000;8.844.6800000;8.633.0000000;8.692.0300000;862
20200504;030000;8.698.0000000;8.782.8800000;8.687.5400000;8.748.7700000;173
20200504;040000;8.743.6900000;8.775.7400000;8.703.5900000;8.733.2200000;104
20200504;050000;8.737.0200000;8.752.4400000;8.637.5800000;8.694.2100000;233
20200504;060000;8.695.8000000;8.707.5600000;8.528.4200000;8.615.0000000;565
20200504;070000;8.609.5300000;8.660.5700000;8.591.8500000;8.637.0000000;280
20200504;080000;8.634.1000000;8.684.9300000;8.582.0100000;8.668.8200000;204
20200504;090000;8.662.7600000;8.732.5100000;8.656.1900000;8.704.0400000;314
20200504;100000;8.696.9300000;8.713.0200000;8.602.3300000;8.638.6000000;449
20200504;110000;8.637.0900000;8.684.7900000;8.612.1800000;8.638.9600000;186
20200504;120000;8.636.0000000;8.709.9500000;8.626.7000000;8.693.6000000;180
20200504;130000;8.691.1100000;8.764.2200000;8.661.8600000;8.732.4400000;609
20200504;140000;8.728.1000000;8.855.8300000;8.728.1000000;8.836.4700000;573
20200504;150000;8.848.5600000;8.873.9700000;8.785.0000000;8.786.9700000;663
20200504;160000;8.792.3600000;8.862.3600000;8.792.3600000;8.862.3600000;180
20200504;170000;8.862.9900000;8.904.3200000;8.805.9800000;8.839.1500000;417
20200504;180000;8.847.3800000;8.860.0000000;8.750.0200000;8.810.8900000;501
20200504;190000;8.814.3000000;8.887.1600000;8.802.6400000;8.863.2100000;230
20200504;200000;8.862.0600000;8.890.9900000;8.820.0900000;8.846.8600000;197
20200504;210000;8.846.8600000;8.940.0000000;8.846.8600000;8.918.2200000;207
20200504;220000;8.918.2200000;8.961.9800000;8.894.2700000;8.952.3800000;181
20200504;230000;8.957.0200000;8.974.3400000;8.868.9900000;8.882.6600000;697
20200505;000000;8.880.3800000;8.922.0700000;8.838.5200000;8.882.8700000;632
20200505;010000;8.889.2400000;8.935.0200000;8.849.3000000;8.909.3600000;317
20200505;020000;8.913.3200000;8.913.4400000;8.838.8600000;8.892.2000000;174
20200505;030000;8.894.1300000;8.902.0600000;8.834.5600000;8.865.7200000;84
20200505;040000;8.863.4900000;8.888.0000000;8.827.8100000;8.868.7300000;124
20200505;050000;8.862.0100000;9.100.0000000;8.862.0100000;9.053.6800000;662
20200505;060000;9.067.6900000;9.120.0000000;8.997.3300000;9.014.6800000;494
20200505;070000;9.025.8800000;9.067.0900000;8.975.0000000;9.034.9300000;280
20200505;080000;9.031.6600000;9.086.9700000;9.011.0000000;9.021.7600000;296
20200505;090000;9.022.3100000;9.050.0000000;8.984.1900000;9.040.5600000;362
20200505;100000;9.044.7300000;9.083.0000000;8.996.8900000;9.005.9300000;545
20200505;110000;9.001.1800000;9.007.4200000;8.760.1000000;8.861.6800000;1.233
20200505;120000;8.854.1000000;8.906.7800000;8.832.7000000;8.858.3700000;309
