<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220502;110000;38.767.7100000;38.863.8700000;38.649.0100000;38.713.6800000;9
20220502;120000;38.715.5600000;38.760.9900000;38.457.3900000;38.529.3200000;33
20220502;130000;38.521.1200000;38.702.7800000;38.419.4500000;38.507.1200000;7
20220502;140000;38.487.6800000;39.142.8700000;38.224.3000000;38.908.0000000;142
20220502;150000;38.908.0000000;39.101.4800000;38.602.6600000;38.821.8400000;47
20220502;160000;38.828.1800000;38.893.5400000;38.601.0000000;38.699.5500000;49
20220502;170000;38.680.1500000;38.856.1200000;38.514.7500000;38.556.5200000;24
20220502;180000;38.532.9800000;38.576.9300000;38.200.1900000;38.375.8900000;69
20220502;190000;38.366.9200000;38.447.4400000;38.045.7900000;38.208.4000000;33
20220502;200000;38.212.2600000;38.573.8000000;38.141.4100000;38.544.9700000;22
20220502;210000;38.556.5300000;38.608.4600000;38.304.0500000;38.304.1400000;11
20220502;220000;38.319.8800000;38.738.5800000;38.288.8700000;38.627.4400000;19
20220502;230000;38.654.8500000;38.898.7300000;38.572.9700000;38.589.6200000;57
20220503;000000;38.589.9500000;38.737.5600000;38.458.6400000;38.521.0100000;3
20220503;010000;38.506.3800000;38.573.5100000;38.376.3600000;38.410.8600000;11
